DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/22/2016,19:30,,,,,,,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3585122,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/22/2016,19:30,,,,,,CENTRAL PARK WEST               ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3585232,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,19:30,,,,,,BROOKVILLE BOULEVARD            ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3585042,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,19:30,QUEENS,11417,,,,WOODHAVEN BOULEVARD             ,103 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3585153,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,19:30,QUEENS,11373,40.7351771,-73.8753457,"(40.7351771, -73.8753457)",QUEENS BOULEVARD                ,55 ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3585221,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/22/2016,19:30,BROOKLYN,11218,40.6385239,-73.9731855,"(40.6385239, -73.9731855)",OCEAN PARKWAY                   ,CORTELYOU ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3585520,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/22/2016,19:30,BROOKLYN,11203,40.6553345,-73.9307664,"(40.6553345, -73.9307664)",UTICA AVENUE                    ,LENOX ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3586174,PASSENGER VEHICLE,TAXI,,,
12/22/2016,19:28,QUEENS,11101,40.752504,-73.9295899,"(40.752504, -73.9295899)",,,34-01     38 AVENUE                     ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3585400,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,19:25,,,,,,WEST 239 STREET                 ,,,1,0,0,0,0,0,1,0,,,,,,3585508,SPORT UTILITY / STATION WAGON,,,,
12/22/2016,19:22,BROOKLYN,11235,40.587762,-73.956194,"(40.587762, -73.956194)",EAST 13 STREET                  ,AVENUE Z,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3586737,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/22/2016,19:20,BROOKLYN,11225,,,,,,35        EMPIRE BOULEVARD              ,1,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,,,,3585158,PASSENGER VEHICLE,,,,
